#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
EC|J01|52.76501|5.05455|-4.9|Middenmeer|2014-06-01T00:00:00|
NA|SABA|17.62048|-63.24323|261.0|Saba, St. John|2006-10-30T00:00:00|
NA|SABQ|17.62652|-63.24875|200.0|Saba, The Bottom|2015-07-01T00:00:00|
NA|SABV|17.64263|-63.22831|200.0|Saba, Zion Hill|2015-07-01T00:00:00|
NA|SABW|17.628|-63.23158|200.0|Saba, Windwardside|2015-07-01T00:00:00|
NA|SEUG|17.4783|-62.9739|152.0|St. Eustatius, George|2013-12-15T00:00:00|
NA|SEUH|17.48326|-62.9547|100.0|St. Eustatius, Knippenga|2015-07-01T00:00:00|
NA|SEUS|17.4928|-62.9814|46.0|St. Eustatius, airport|2006-10-29T00:00:00|
NA|SEUT|17.4714|-62.9757|152.0|St. Eustatius, Eutel|2013-12-15T00:00:00|
NA|SMRT|18.050501|-63.0746|260.0|St. Maarten, Caribbean Sea|2006-10-27T00:00:00|
NL|0171|51.03544|5.86908|35.0|Nieuwstadt|2006-01-27T00:00:00|2011-11-25T00:00:00
NL|1979|50.9708|5.9268|80.0|Bingelrade|2009-03-10T00:00:00|2014-11-28T00:00:00
NL|1980|50.8|5.9727|154.0|Mamelis|2009-03-10T00:00:00|2015-04-17T00:00:00
NL|1982|50.86939|6.08469|145.0|Rolduc|2007-12-10T00:00:00|2015-04-17T00:00:00
NL|BAPP|53.31482|6.83539|0.0|Appingedam, Nederland|2013-10-07T00:00:00|
NL|BBER|52.661427|4.7045|2.0|Bergen|2017-12-04T00:00:00|
NL|BFB2|53.18751|6.76549|1.0|Froombosch2, Nederland|2014-09-17T00:00:00|
NL|BGAR|53.36786|6.71359|1.0|Garsthuizen, Nederland|2014-09-17T00:00:00|
NL|BHAR|53.22916|6.70898|1.0|Harkstede, Nederland|2014-09-17T00:00:00|
NL|BHKS|53.29195|6.78502|1.0|Hoeksmeer, Nederland|2014-09-17T00:00:00|
NL|BING|50.9708|5.9268|80.0|Bingelrade|2014-11-27T00:00:00|
NL|BKMZ|53.290115|6.318887|2.0|Kommerzijl|2015-12-08T00:00:00|
NL|BLOP|53.33391|6.74663|1.0|Loppersum, Nederland|2013-09-23T00:00:00|
NL|BMD1|53.34726|6.64225|2.0|Middelstum 1, Nederland|2013-09-11T00:00:00|2014-03-11T05:16:01
NL|BMD2|53.35325|6.6472|0.0|Middelstum 2, Nederland|2013-09-10T00:00:00|
NL|BONL|53.40014|6.75483|1.0|Oosternienland, Nederland|2013-09-19T00:00:00|2015-08-23T00:00:00
NL|BOWW|53.34053|6.8125|1.0|Oosterwijterd, Nederland|2013-10-01T00:00:00|
NL|BSTD|53.312297|6.692137|1.0|Stedum, Nederland|2014-09-17T00:00:00|
NL|BUHZ|53.40704|6.67266|2.0|Uithuizen, Nederland|2013-10-07T00:00:00|
NL|BWIN|53.3112|6.74837|1.0|Winneweer, Nederland|2014-09-17T00:00:00|
NL|BWIR|53.32257|6.7861|0.0|Wirdum, Nederland|2013-09-24T00:00:00|
NL|BWSE|53.34442|6.70989|1.0|Westeremden, Nederland|2013-04-24T00:00:00|
NL|BZN1|53.36567|6.77512|1.0|t Zandt 1|2013-10-24T00:00:00|
NL|BZN2|53.35683|6.75474|1.0|t Zandt 2|2013-09-23T00:00:00|
NL|CHA1|51.5043|4.9212|20.0|Chaam niveau 1|2011-07-03T00:00:00|
NL|CHA2|51.5043|4.9212|20.0|Chaam niveau 2|2011-07-03T00:00:00|
NL|CHA3|51.5043|4.9212|20.0|Chaam niveau 3|2011-07-03T00:00:00|
NL|CHA4|51.5043|4.9212|20.0|Chaam niveau 4|2011-07-03T00:00:00|
NL|CHA5|51.5043|4.9212|20.0|Chaam niveau 5|2011-07-03T00:00:00|
NL|CIA01|51.96884|4.92793|-1.0|Cabauw Infrasound Array|2012-07-04T10:30:00|
NL|CIA02|51.96968|4.92881|-1.0|Cabauw Infrasound Array|2012-07-04T10:30:00|
NL|CIA03|51.96859|4.92949|-1.0|Cabauw Infrasound Array|2012-07-04T10:30:00|
NL|CIA04|51.96786|4.92801|-2.0|Cabauw Infrasound Array|2012-07-04T10:30:00|
NL|CIA05|51.9685|4.92642|-2.0|Cabauw Infrasound Array|2012-07-04T10:30:00|
NL|CIA06|51.96962|4.92692|-1.0|Cabauw Infrasound Array|2012-07-04T10:30:00|
NL|CIA07|51.97071|4.92579|0.0|Cabauw Infrasound Array|2012-07-04T10:30:00|
NL|CIA08|51.97209|4.92395|-1.0|Cabauw Infrasound Array|2012-07-04T10:30:00|
NL|CIA09|51.97421|4.92298|-1.0|Cabauw Infrasound Array|2012-07-04T10:30:00|
NL|CIA10|51.97297|4.92662|-2.0|Cabauw Infrasound Array|2012-07-04T10:30:00|
NL|DBN|52.1017|5.1767|3.0|De Bilt, Netherlands|1997-11-25T00:00:00|
NL|DBN01|52.09887|5.17589|4.0|De Bilt Infrasound Array|2002-08-21T14:30:00|
NL|DBN02|52.09897|5.17621|3.0|De Bilt Infrasound Array|2002-08-21T14:30:00|
NL|DBN03|52.09897|5.17685|1.0|De Bilt Infrasound Array|2002-08-21T14:30:00|
NL|DBN04|52.09875|5.17683|2.0|De Bilt Infrasound Array|2002-08-21T14:30:00|
NL|DBN05|52.09842|5.17653|2.0|De Bilt Infrasound Array|2002-08-21T14:30:00|
NL|DBN06|52.09853|5.17623|3.0|De Bilt Infrasound Array|2002-08-21T14:30:00|
NL|DL01|52.06011|5.8873|52.0|Deelen Infrasound Array|1999-07-01T00:00:00|
NL|DL14|52.05514|5.88275|49.0|Deelen Infrasound Array|1999-07-01T00:00:00|
NL|DL17|52.06005|5.88747|49.0|Deelen Infrasound Array|1999-07-01T00:00:00|
NL|ENM1|53.4064|6.4817|1.0|Eenrum (Westernieland) niveau 1|1995-04-12T00:00:00|
NL|ENM2|53.4064|6.4817|1.0|Eenrum (Westernieland) niveau 2|1995-04-12T00:00:00|
NL|ENM3|53.4064|6.4817|1.0|Eenrum (Westernieland) niveau 3|1995-04-12T00:00:00|
NL|ENM4|53.4064|6.4817|1.0|Eenrum (Westernieland) niveau 4|1995-04-12T00:00:00|
NL|ENV1|52.8944|6.6337|17.0|Elp (Enerveen) niveau 1|1995-09-09T00:00:00|
NL|ENV2|52.8944|6.6337|17.0|Elp (Enerveen) niveau 2|1995-09-09T00:00:00|
NL|ENV3|52.8944|6.6337|17.0|Elp (Enerveen) niveau 3|1995-09-09T00:00:00|
NL|ENV4|52.8944|6.6337|17.0|Elp (Enerveen) niveau 4|1995-09-09T00:00:00|
NL|EXL01|52.908069|6.865355|6.0|Exloo Infrasound Array|2005-01-01T00:00:00|
NL|EXL02|52.906795|6.865549|7.0|Exloo Infrasound Array|2005-01-01T00:00:00|
NL|EXL03|52.90829|6.86401|6.0|Exloo Infrasound Array|2005-01-01T00:00:00|
NL|EXL04|52.906704|6.865989|4.0|Exloo Infrasound Array|2005-01-01T00:00:00|
NL|EXL05|52.908257|6.867829|6.0|Exloo Infrasound Array|2005-01-01T00:00:00|
NL|EXL06|52.907097|6.865533|6.0|Exloo Infrasound Array|2005-01-01T00:00:00|
NL|FDG1|53.2562|5.5481|1.0|Firdgum niveau 1|2009-10-13T00:00:00|
NL|FDG2|53.2562|5.5481|1.0|Firdgum niveau 2|2009-10-13T00:00:00|
NL|FDG3|53.2562|5.5481|1.0|Firdgum niveau 3|2009-10-13T00:00:00|
NL|FDG4|53.2562|5.5481|1.0|Firdgum niveau 4|2009-10-13T00:00:00|
NL|FSW1|53.2135|7.1195|1.0|Finsterwolde niveau 1|1995-05-05T00:00:00|
NL|FSW2|53.2135|7.1195|1.0|Finsterwolde niveau 2|1995-05-05T00:00:00|
NL|FSW3|53.2135|7.1195|1.0|Finsterwolde niveau 3|1995-05-05T00:00:00|
NL|FSW4|53.2135|7.1195|1.0|Finsterwolde niveau 4|1995-05-05T00:00:00|2016-06-14T08:00:00
NL|FSW5|53.2135|7.1195|1.0|Finsterwolde niveau 5|1995-05-05T00:00:00|
NL|G010|53.442535|6.731191|2.0|Uithuizermeeden (niveau 0)|2015-02-10T00:00:00|
NL|G011|53.442535|6.731191|2.0|Uithuizermeeden (niveau 1)|2015-02-10T00:00:00|
NL|G012|53.442535|6.731191|2.0|Uithuizermeeden (niveau 2)|2015-02-10T00:00:00|
NL|G013|53.442535|6.731191|2.0|Uithuizermeeden (niveau 3)|2015-02-10T00:00:00|
NL|G014|53.442535|6.731191|2.0|Uithuizermeeden (niveau 4)|2015-02-10T00:00:00|
NL|G020|53.44901|6.805842|2.0|Eemshaven (niveau 0)|2015-02-10T00:00:00|
NL|G021|53.44901|6.805842|2.0|Eemshaven (niveau 1)|2015-02-10T00:00:00|
NL|G022|53.44901|6.805842|2.0|Eemshaven (niveau 2)|2015-02-10T00:00:00|
NL|G023|53.44901|6.805842|2.0|Eemshaven (niveau 3)|2015-02-10T00:00:00|
NL|G024|53.44901|6.805842|2.0|Eemshaven (niveau 4)|2015-02-10T00:00:00|
NL|G030|53.415886|6.597559|2.0|Usquert (niveau 0)|2015-02-10T00:00:00|
NL|G031|53.415886|6.597559|2.0|Usquert (niveau 1)|2015-02-10T00:00:00|
NL|G032|53.415886|6.597559|2.0|Usquert (niveau 2)|2015-02-10T00:00:00|
NL|G033|53.415886|6.597559|2.0|Usquert (niveau 3)|2015-02-10T00:00:00|
NL|G034|53.415886|6.597559|2.0|Usquert (niveau 4)|2015-02-10T00:00:00|
NL|G040|53.41469|6.67472|2.0|Uithuizen (niveau 0)|2015-06-04T00:00:00|
NL|G041|53.41469|6.67472|2.0|Uithuizen (niveau 1)|2015-06-04T00:00:00|
NL|G042|53.41469|6.67472|2.0|Uithuizen (niveau 2)|2015-06-04T00:00:00|
NL|G043|53.41469|6.67472|2.0|Uithuizen (niveau 3)|2015-06-04T00:00:00|
NL|G044|53.41469|6.67472|2.0|Uithuizen (niveau 4)|2015-06-04T00:00:00|
